name,link,1D,30D,1Y
Alfalah GHP Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/928c9be6-a01f-45a8-bda3-0451a8562752,-3.32%,17.16%,17.65%
Alhamra Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/8ce6a63e-fec8-450c-ba91-e38608468525,5.58%,9.94%,17.57%
ABL Special Saving Fund (ABL Special Saving Plan IV),https://sarmaaya.pk/mutual-funds/fund/1a6bb393-432c-4a7b-affe-fe1e07c3470d,0.06%,0.90%,17.43%
NBP Government Securities Plan IV,https://sarmaaya.pk/mutual-funds/fund/91dd949b-426f-408f-9d6f-980e547b5985,58.55%,11.10%,17.42%
ABL Special Saving Fund (ABL Special Saving Plan V),https://sarmaaya.pk/mutual-funds/fund/16d6e240-4aea-492d-b65a-fa806629bf3b,0.09%,0.91%,17.39%
HBL Total Treasury Exchange Traded Fund,https://sarmaaya.pk/mutual-funds/fund/e063f8e0-e0a9-474f-a482-96864a70c69e,21.39%,10.29%,17.38%
ABL Government Securities Fund,https://sarmaaya.pk/mutual-funds/fund/fcf3e8d3-c525-48dd-9230-911a217fd74e,21.24%,10.23%,17.36%
Pakistan Income Fund,https://sarmaaya.pk/mutual-funds/fund/957bdbd9-c9f9-4084-a95f-ef66a0a2c4ea,5.62%,9.16%,17.34%
ABL Special Saving Fund (ABL Special Saving Plan III),https://sarmaaya.pk/mutual-funds/fund/35babae6-19fd-48dd-9a98-5215dd4f7b67,0.07%,0.90%,17.27%
Alfalah GHP Sovereign Fund,https://sarmaaya.pk/mutual-funds/fund/5238ae7a-9bd4-423f-b94a-9ecc58a0f99a,79.61%,13.72%,17.23%
